file_name,source_path,content_summary,usage_purpose,tier,mode,copied_at
analysis_support_synthesis_revised.md,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\07_reporting\analysis_support_synthesis_revised.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
main_analysis_completion_report.md,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\07_reporting\main_analysis_completion_report.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
manuscript_update_readiness.md,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\07_reporting\manuscript_update_readiness.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
oi_oro_dental_master_FINAL_1_2.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\oi_oro_dental_master_FINAL_1_2.py,Copied source artifact for documentation package,Reporting evidence / traceability,authoritative,copied,2026-03-17T14:11:48
make_figures_final_1_2.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\make_figures_final_1_2.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
make_figures_FINAL_1_2_TR.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\make_figures_FINAL_1_2_TR.py,Copied source artifact for documentation package,Reporting evidence / traceability,authoritative,copied,2026-03-17T14:11:48
generate_missing_supporting_analyses.py,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\generate_missing_supporting_analyses.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
main_analysis_completion_pipeline_round2.py,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\08_scripts\main_analysis_completion_pipeline_round2.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
FigA_prevalence.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigA_prevalence.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
FigB_gene_groups.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigB_gene_groups.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
FigC_inferential_summary.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigC_inferential_summary.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
FigE_robustness.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigE_robustness.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
FigF_cv_delta_auc.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigF_cv_delta_auc.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T14:11:48
README_Manuscript_Data.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\README_Manuscript_Data.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
ANALYSIS_RESULT_MAP.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\ANALYSIS_RESULT_MAP.csv,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
FILE_REGISTRY.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\FILE_REGISTRY.csv,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
FINAL_HANDOFF_QUICKSTART.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\06_ai_handoff_context\FINAL_HANDOFF_QUICKSTART.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
final_1.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\final_1.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
camber_sap_v2_publication_ready.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\camber_sap_v2_publication_ready.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
TRANSPARENCY_NOTES.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\TRANSPARENCY_NOTES.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
REPRODUCIBILITY_ENVIRONMENT.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\REPRODUCIBILITY_ENVIRONMENT.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
Methods_questions_answers.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\Methods_questions_answers.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
Results_questions_answers.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\Results_questions_answers.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
Discussion_questions_answers.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\Discussion_questions_answers.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
